,Bill Number,First Name,Last Name,Party,State,Vote Cast
192,H.R. 9468,Mark,Warner,D,VA,Nay
193,H.R. 9468,Raphael,Warnock,D,GA,Nay
194,H.R. 9468,Elizabeth,Warren,D,MA,Nay
195,H.R. 9468,Peter,Welch,D,VT,Nay
196,H.R. 9468,Sheldon,Whitehouse,D,RI,Nay
197,H.R. 9468,Roger,Wicker,R,MS,Yea
198,H.R. 9468,Ron,Wyden,D,OR,Not Voting
199,H.R. 9468,Todd,Young,R,IN,Yea
200,H.R. 7024,Tammy,Baldwin,D,WI,Yea
201,H.R. 7024,John,Barrasso,R,WY,Nay
202,H.R. 7024,Michael,Bennet,D,CO,Yea
203,H.R. 7024,Marsha,Blackburn,R,TN,Not Voting
204,H.R. 7024,Richard,Blumenthal,D,CT,Yea
205,H.R. 7024,Cory,Booker,D,NJ,Yea
206,H.R. 7024,John,Boozman,R,AR,Nay
207,H.R. 7024,Mike,Braun,R,IN,Nay
208,H.R. 7024,Katie,Britt,R,AL,Nay
209,H.R. 7024,Sherrod ,Brown,D,OH,Yea
210,H.R. 7024,Ted,Budd,R,NC,Nay
211,H.R. 7024,Laphonza,Butler,D,CA,Yea
212,H.R. 7024,Maria,Cantwell,D,WA,Yea
213,H.R. 7024,Shelley,Capito,R,WV,Nay
214,H.R. 7024,Ben,Cardin,D,MD,Yea
215,H.R. 7024,Thomas,Carper,D,DE,Yea
216,H.R. 7024,Bob,Casey,D,PA,Yea
217,H.R. 7024,Bill,Cassidy,R,LA,Nay
218,H.R. 7024,Susan,Collins,R,ME,Nay
219,H.R. 7024,Christopher,Coons,D,DE,Yea
220,H.R. 7024,John,Cornyn,R,TX,Nay
221,H.R. 7024,Catherine,Cortez Masto,D,NV,Yea
222,H.R. 7024,Tom,Cotton,R,AR,Nay
223,H.R. 7024,Kevin,Cramer,R,ND,Nay
224,H.R. 7024,Mike,Crapo,R,ID,Nay
225,H.R. 7024,Ted,Cruz,R,TX,Nay
226,H.R. 7024,Steve,Daines,R,MT,Nay
227,H.R. 7024,Tammy,Duckworth,D,IL,Yea
228,H.R. 7024,Richard,Durbin,D,IL,Yea
229,H.R. 7024,Joni,Ernst,R,IA,Nay
230,H.R. 7024,John,Fetterman,D,PA,Not Voting
231,H.R. 7024,Deb,Fischer,R,NE,Nay
232,H.R. 7024,Kirsten,Gillibrand,D,NY,Yea
233,H.R. 7024,Lindsey,Graham,R,SC,Nay
234,H.R. 7024,Chuck,Grassley,R,IA,Nay
235,H.R. 7024,Bill,Hagerty,R,TN,Nay
236,H.R. 7024,Maggie,Hassan,D,NH,Yea
237,H.R. 7024,Josh,Hawley,R,MO,Yea
238,H.R. 7024,Martin,Heinrich,D,NM,Yea
239,H.R. 7024,John,Hickenlooper,D,CO,Yea
240,H.R. 7024,Mazie,Hirono,D,HI,Yea
241,H.R. 7024,John,Hoeven,R,ND,Not Voting
242,H.R. 7024,Cindy,Hyde-Smith,R,MS,Nay
243,H.R. 7024,Ron,Johnson,R,WI,Nay
244,H.R. 7024,Timothy,Kaine,D,VA,Yea
245,H.R. 7024,Mark,Kelly,D,AZ,Yea
246,H.R. 7024,John,Kennedy,R,LA,Nay
247,H.R. 7024,Angus,King,I,ME,Yea
248,H.R. 7024,Amy,Klobuchar,D,MN,Yea
249,H.R. 7024,James,Lankford,R,OK,Nay
250,H.R. 7024,Mike,Lee,R,UT,Nay
251,H.R. 7024,Ben,Lujan,D,NM,Yea
252,H.R. 7024,Cynthia,Lummis,R,WY,Nay
253,H.R. 7024,Joseph,Manchin,I,WV,Nay
254,H.R. 7024,Edward,Markey,D,MA,Yea
255,H.R. 7024,Roger,Marshall,R,KS,Nay
256,H.R. 7024,Mitch,McConnell,R,KY,Nay
257,H.R. 7024,Robert,Menendez,D,NJ,Not Voting
258,H.R. 7024,Jeff,Merkley,D,OR,Yea
259,H.R. 7024,Jerry,Moran,R,KS,Nay
260,H.R. 7024,Markwayne,Mullin,R,OK,Yea
261,H.R. 7024,Lisa,Murkowski,R,AK,Nay
262,H.R. 7024,Christopher,Murphy,D,CT,Yea
263,H.R. 7024,Patty,Murray,D,WA,Yea
264,H.R. 7024,Jon,Ossoff,D,GA,Yea
265,H.R. 7024,Alex,Padilla,D,CA,Yea
266,H.R. 7024,Rand,Paul,R,KY,Nay
267,H.R. 7024,Gary,Peters,D,MI,Yea
268,H.R. 7024,John,Reed,D,RI,Yea
269,H.R. 7024,Pete,Ricketts,R,NE,Nay
270,H.R. 7024,James ,Risch,R,ID,Nay
271,H.R. 7024,Mitt,Romney,R,UT,Not Voting
272,H.R. 7024,Jacklyn,Rosen,D,NV,Yea
273,H.R. 7024,Mike,Rounds,R,SD,Nay
274,H.R. 7024,Marco,Rubio,R,FL,Nay
275,H.R. 7024,Bernard,Sanders,I,VT,Nay
276,H.R. 7024,Brian,Schatz,D,HI,Yea
