Unnamed: 0,Bill Number,First Name,Last Name,Party,State,Vote Cast,Name
127,,Tammy,Duckworth,D,IL,Nay,Tammy Duckworth
128,,Richard,Durbin,D,IL,Nay,Richard Durbin
129,,Joni,Ernst,R,IA,Yea,Joni Ernst
130,,John,Fetterman,D,PA,Nay,John Fetterman
131,,Deb,Fischer,R,NE,Yea,Deb Fischer
132,,Kirsten,Gillibrand,D,NY,Nay,Kirsten Gillibrand
133,,Lindsey,Graham,R,SC,Yea,Lindsey Graham
134,,Chuck,Grassley,R,IA,Yea,Chuck Grassley
135,,Bill,Hagerty,R,TN,Yea,Bill Hagerty
136,,Maggie,Hassan,D,NH,Nay,Maggie Hassan
137,,Josh,Hawley,R,MO,Yea,Josh Hawley
138,,Martin,Heinrich,D,NM,Nay,Martin Heinrich
139,,George,Helmy,D,NJ,Nay,George Helmy
140,,John,Hickenlooper,D,CO,Nay,John Hickenlooper
141,,Mazie,Hirono,D,HI,Nay,Mazie Hirono
142,,John,Hoeven,R,ND,Yea,John Hoeven
143,,Cindy,Hyde-Smith,R,MS,Yea,Cindy Hyde-Smith
144,,Ron,Johnson,R,WI,Yea,Ron Johnson
145,,Timothy,Kaine,D,VA,Nay,Timothy Kaine
146,,Mark,Kelly,D,AZ,Nay,Mark Kelly
147,,John,Kennedy,R,LA,Yea,John Kennedy
148,,Angus,King,I,ME,Nay,Angus King
149,,Amy,Klobuchar,D,MN,Nay,Amy Klobuchar
150,,James,Lankford,R,OK,Yea,James Lankford
151,,Mike,Lee,R,UT,Yea,Mike Lee
152,,Ben,Lujan,D,NM,Nay,Ben Lujan
153,,Cynthia,Lummis,R,WY,Yea,Cynthia Lummis
154,,Joseph,Manchin,I,WV,Nay,Joseph Manchin
155,,Edward,Markey,D,MA,Nay,Edward Markey
156,,Roger,Marshall,R,KS,Not Voting,Roger Marshall
157,,Mitch,McConnell,R,KY,Yea,Mitch McConnell
158,,Jeff,Merkley,D,OR,Nay,Jeff Merkley
159,,Jerry,Moran,R,KS,Yea,Jerry Moran
160,,Markwayne,Mullin,R,OK,Yea,Markwayne Mullin
161,,Lisa,Murkowski,R,AK,Yea,Lisa Murkowski
162,,Christopher,Murphy,D,CT,Nay,Christopher Murphy
163,,Patty,Murray,D,WA,Nay,Patty Murray
164,,Jon,Ossoff,D,GA,Nay,Jon Ossoff
165,,Alex,Padilla,D,CA,Nay,Alex Padilla
166,,Rand,Paul,R,KY,Yea,Rand Paul
167,,Gary,Peters,D,MI,Nay,Gary Peters
168,,John,Reed,D,RI,Nay,John Reed
169,,Pete,Ricketts,R,NE,Yea,Pete Ricketts
170,,James ,Risch,R,ID,Yea,James  Risch
171,,Mitt,Romney,R,UT,Yea,Mitt Romney
172,,Jacklyn,Rosen,D,NV,Nay,Jacklyn Rosen
173,,Mike,Rounds,R,SD,Not Voting,Mike Rounds
174,,Marco,Rubio,R,FL,Yea,Marco Rubio
175,,Bernard,Sanders,I,VT,Nay,Bernard Sanders
176,,Brian,Schatz,D,HI,Nay,Brian Schatz
177,,Eric ,Schmitt,R,MO,Yea,Eric  Schmitt
178,,Charles,Schumer,D,NY,Nay,Charles Schumer
179,,Rick,Scott,R,FL,Yea,Rick Scott
180,,Tim,Scott,R,SC,Yea,Tim Scott
181,,Jeanne,Shaheen,D,NH,Nay,Jeanne Shaheen
182,,Kyrsten,Sinema,I,AZ,Nay,Kyrsten Sinema
183,,Tina,Smith,D,MN,Nay,Tina Smith
184,,Debbie,Stabenow,D,MI,Nay,Debbie Stabenow
185,,Dan,Sullivan,R,AK,Yea,Dan Sullivan
186,,Jon,Tester,D,MT,Yea,Jon Tester
187,,John,Thune,R,SD,Yea,John Thune
188,,Thomas,Tillis,R,NC,Not Voting,Thomas Tillis
189,,Tommy,Tuberville,R,AL,Yea,Tommy Tuberville
190,,Chris,Van Hollen,D,MD,Nay,Chris Van Hollen
191,,J.,Vance,R,OH,Not Voting,J. Vance
192,,Mark,Warner,D,VA,Nay,Mark Warner
193,,Raphael,Warnock,D,GA,Nay,Raphael Warnock
194,,Elizabeth,Warren,D,MA,Nay,Elizabeth Warren
195,,Peter,Welch,D,VT,Nay,Peter Welch
196,,Sheldon,Whitehouse,D,RI,Nay,Sheldon Whitehouse
197,,Roger,Wicker,R,MS,Yea,Roger Wicker
198,,Ron,Wyden,D,OR,Not Voting,Ron Wyden
199,,Todd,Young,R,IN,Yea,Todd Young
200,H.R. 7024,Tammy,Baldwin,D,WI,Yea,Tammy Baldwin
201,H.R. 7024,John,Barrasso,R,WY,Nay,John Barrasso
202,H.R. 7024,Michael,Bennet,D,CO,Yea,Michael Bennet
203,H.R. 7024,Marsha,Blackburn,R,TN,Not Voting,Marsha Blackburn
204,H.R. 7024,Richard,Blumenthal,D,CT,Yea,Richard Blumenthal
205,H.R. 7024,Cory,Booker,D,NJ,Yea,Cory Booker
206,H.R. 7024,John,Boozman,R,AR,Nay,John Boozman
207,H.R. 7024,Mike,Braun,R,IN,Nay,Mike Braun
208,H.R. 7024,Katie,Britt,R,AL,Nay,Katie Britt
209,H.R. 7024,Sherrod ,Brown,D,OH,Yea,Sherrod  Brown
210,H.R. 7024,Ted,Budd,R,NC,Nay,Ted Budd
211,H.R. 7024,Laphonza,Butler,D,CA,Yea,Laphonza Butler
212,H.R. 7024,Maria,Cantwell,D,WA,Yea,Maria Cantwell
213,H.R. 7024,Shelley,Capito,R,WV,Nay,Shelley Capito
214,H.R. 7024,Ben,Cardin,D,MD,Yea,Ben Cardin
215,H.R. 7024,Thomas,Carper,D,DE,Yea,Thomas Carper
216,H.R. 7024,Bob,Casey,D,PA,Yea,Bob Casey
217,H.R. 7024,Bill,Cassidy,R,LA,Nay,Bill Cassidy
218,H.R. 7024,Susan,Collins,R,ME,Nay,Susan Collins
219,H.R. 7024,Christopher,Coons,D,DE,Yea,Christopher Coons
220,H.R. 7024,John,Cornyn,R,TX,Nay,John Cornyn
221,H.R. 7024,Catherine,Cortez Masto,D,NV,Yea,Catherine Cortez Masto
222,H.R. 7024,Tom,Cotton,R,AR,Nay,Tom Cotton
223,H.R. 7024,Kevin,Cramer,R,ND,Nay,Kevin Cramer
224,H.R. 7024,Mike,Crapo,R,ID,Nay,Mike Crapo
225,H.R. 7024,Ted,Cruz,R,TX,Nay,Ted Cruz
226,H.R. 7024,Steve,Daines,R,MT,Nay,Steve Daines
227,H.R. 7024,Tammy,Duckworth,D,IL,Yea,Tammy Duckworth
228,H.R. 7024,Richard,Durbin,D,IL,Yea,Richard Durbin
229,H.R. 7024,Joni,Ernst,R,IA,Nay,Joni Ernst
230,H.R. 7024,John,Fetterman,D,PA,Not Voting,John Fetterman
231,H.R. 7024,Deb,Fischer,R,NE,Nay,Deb Fischer
232,H.R. 7024,Kirsten,Gillibrand,D,NY,Yea,Kirsten Gillibrand
233,H.R. 7024,Lindsey,Graham,R,SC,Nay,Lindsey Graham
234,H.R. 7024,Chuck,Grassley,R,IA,Nay,Chuck Grassley
235,H.R. 7024,Bill,Hagerty,R,TN,Nay,Bill Hagerty
236,H.R. 7024,Maggie,Hassan,D,NH,Yea,Maggie Hassan
237,H.R. 7024,Josh,Hawley,R,MO,Yea,Josh Hawley
238,H.R. 7024,Martin,Heinrich,D,NM,Yea,Martin Heinrich
239,H.R. 7024,John,Hickenlooper,D,CO,Yea,John Hickenlooper
240,H.R. 7024,Mazie,Hirono,D,HI,Yea,Mazie Hirono
241,H.R. 7024,John,Hoeven,R,ND,Not Voting,John Hoeven
242,H.R. 7024,Cindy,Hyde-Smith,R,MS,Nay,Cindy Hyde-Smith
243,H.R. 7024,Ron,Johnson,R,WI,Nay,Ron Johnson
244,H.R. 7024,Timothy,Kaine,D,VA,Yea,Timothy Kaine
245,H.R. 7024,Mark,Kelly,D,AZ,Yea,Mark Kelly
246,H.R. 7024,John,Kennedy,R,LA,Nay,John Kennedy
247,H.R. 7024,Angus,King,I,ME,Yea,Angus King
248,H.R. 7024,Amy,Klobuchar,D,MN,Yea,Amy Klobuchar
249,H.R. 7024,James,Lankford,R,OK,Nay,James Lankford
250,H.R. 7024,Mike,Lee,R,UT,Nay,Mike Lee
251,H.R. 7024,Ben,Lujan,D,NM,Yea,Ben Lujan
252,H.R. 7024,Cynthia,Lummis,R,WY,Nay,Cynthia Lummis
253,H.R. 7024,Joseph,Manchin,I,WV,Nay,Joseph Manchin
254,H.R. 7024,Edward,Markey,D,MA,Yea,Edward Markey
255,H.R. 7024,Roger,Marshall,R,KS,Nay,Roger Marshall
256,H.R. 7024,Mitch,McConnell,R,KY,Nay,Mitch McConnell
257,H.R. 7024,Robert,Menendez,D,NJ,Not Voting,Robert Menendez
258,H.R. 7024,Jeff,Merkley,D,OR,Yea,Jeff Merkley
259,H.R. 7024,Jerry,Moran,R,KS,Nay,Jerry Moran
260,H.R. 7024,Markwayne,Mullin,R,OK,Yea,Markwayne Mullin
261,H.R. 7024,Lisa,Murkowski,R,AK,Nay,Lisa Murkowski
262,H.R. 7024,Christopher,Murphy,D,CT,Yea,Christopher Murphy
263,H.R. 7024,Patty,Murray,D,WA,Yea,Patty Murray
264,H.R. 7024,Jon,Ossoff,D,GA,Yea,Jon Ossoff
265,H.R. 7024,Alex,Padilla,D,CA,Yea,Alex Padilla
266,H.R. 7024,Rand,Paul,R,KY,Nay,Rand Paul
267,H.R. 7024,Gary,Peters,D,MI,Yea,Gary Peters
268,H.R. 7024,John,Reed,D,RI,Yea,John Reed
269,H.R. 7024,Pete,Ricketts,R,NE,Nay,Pete Ricketts
270,H.R. 7024,James ,Risch,R,ID,Nay,James  Risch
271,H.R. 7024,Mitt,Romney,R,UT,Not Voting,Mitt Romney
272,H.R. 7024,Jacklyn,Rosen,D,NV,Yea,Jacklyn Rosen
273,H.R. 7024,Mike,Rounds,R,SD,Nay,Mike Rounds
274,H.R. 7024,Marco,Rubio,R,FL,Nay,Marco Rubio
275,H.R. 7024,Bernard,Sanders,I,VT,Nay,Bernard Sanders
276,H.R. 7024,Brian,Schatz,D,HI,Yea,Brian Schatz
277,H.R. 7024,Eric ,Schmitt,R,MO,Nay,Eric  Schmitt
278,H.R. 7024,Charles,Schumer,D,NY,Nay,Charles Schumer
279,H.R. 7024,Rick,Scott,R,FL,Yea,Rick Scott
280,H.R. 7024,Tim,Scott,R,SC,Not Voting,Tim Scott
281,H.R. 7024,Jeanne,Shaheen,D,NH,Yea,Jeanne Shaheen
282,H.R. 7024,Kyrsten,Sinema,I,AZ,Yea,Kyrsten Sinema
283,H.R. 7024,Tina,Smith,D,MN,Yea,Tina Smith
284,H.R. 7024,Debbie,Stabenow,D,MI,Yea,Debbie Stabenow
285,H.R. 7024,Dan,Sullivan,R,AK,Nay,Dan Sullivan
286,H.R. 7024,Jon,Tester,D,MT,Yea,Jon Tester
287,H.R. 7024,John,Thune,R,SD,Nay,John Thune
288,H.R. 7024,Thomas,Tillis,R,NC,Nay,Thomas Tillis
289,H.R. 7024,Tommy,Tuberville,R,AL,Nay,Tommy Tuberville
290,H.R. 7024,Chris,Van Hollen,D,MD,Yea,Chris Van Hollen
291,H.R. 7024,J.,Vance,R,OH,Not Voting,J. Vance
292,H.R. 7024,Mark,Warner,D,VA,Not Voting,Mark Warner
293,H.R. 7024,Raphael,Warnock,D,GA,Yea,Raphael Warnock
294,H.R. 7024,Elizabeth,Warren,D,MA,Yea,Elizabeth Warren
295,H.R. 7024,Peter,Welch,D,VT,Yea,Peter Welch
296,H.R. 7024,Sheldon,Whitehouse,D,RI,Yea,Sheldon Whitehouse
297,H.R. 7024,Roger,Wicker,R,MS,Nay,Roger Wicker
298,H.R. 7024,Ron,Wyden,D,OR,Yea,Ron Wyden
299,H.R. 7024,Todd,Young,R,IN,Nay,Todd Young
300,H.R. 3935,Tammy,Baldwin,D,WI,Yea,Tammy Baldwin
301,H.R. 3935,John,Barrasso,R,WY,Not Voting,John Barrasso
302,H.R. 3935,Michael,Bennet,D,CO,Yea,Michael Bennet
303,H.R. 3935,Marsha,Blackburn,R,TN,Yea,Marsha Blackburn
304,H.R. 3935,Richard,Blumenthal,D,CT,Yea,Richard Blumenthal
305,H.R. 3935,Cory,Booker,D,NJ,Yea,Cory Booker
306,H.R. 3935,John,Boozman,R,AR,Yea,John Boozman
307,H.R. 3935,Mike,Braun,R,IN,Not Voting,Mike Braun
308,H.R. 3935,Katie,Britt,R,AL,Not Voting,Katie Britt
309,H.R. 3935,Sherrod ,Brown,D,OH,Yea,Sherrod  Brown
310,H.R. 3935,Ted,Budd,R,NC,Yea,Ted Budd
311,H.R. 3935,Laphonza,Butler,D,CA,Yea,Laphonza Butler
312,H.R. 3935,Maria,Cantwell,D,WA,Yea,Maria Cantwell
313,H.R. 3935,Shelley,Capito,R,WV,Yea,Shelley Capito
314,H.R. 3935,Ben,Cardin,D,MD,Nay,Ben Cardin
315,H.R. 3935,Thomas,Carper,D,DE,Yea,Thomas Carper
316,H.R. 3935,Bob,Casey,D,PA,Yea,Bob Casey
317,H.R. 3935,Bill,Cassidy,R,LA,Yea,Bill Cassidy
318,H.R. 3935,Susan,Collins,R,ME,Yea,Susan Collins
319,H.R. 3935,Christopher,Coons,D,DE,Yea,Christopher Coons
320,H.R. 3935,John,Cornyn,R,TX,Yea,John Cornyn
321,H.R. 3935,Catherine,Cortez Masto,D,NV,Yea,Catherine Cortez Masto
322,H.R. 3935,Tom,Cotton,R,AR,Yea,Tom Cotton
323,H.R. 3935,Kevin,Cramer,R,ND,Yea,Kevin Cramer
324,H.R. 3935,Mike,Crapo,R,ID,Yea,Mike Crapo
325,H.R. 3935,Ted,Cruz,R,TX,Yea,Ted Cruz
326,H.R. 3935,Steve,Daines,R,MT,Yea,Steve Daines
327,H.R. 3935,Tammy,Duckworth,D,IL,Yea,Tammy Duckworth
328,H.R. 3935,Richard,Durbin,D,IL,Yea,Richard Durbin
329,H.R. 3935,Joni,Ernst,R,IA,Yea,Joni Ernst
330,H.R. 3935,John,Fetterman,D,PA,Yea,John Fetterman
331,H.R. 3935,Deb,Fischer,R,NE,Yea,Deb Fischer
332,H.R. 3935,Kirsten,Gillibrand,D,NY,Yea,Kirsten Gillibrand
333,H.R. 3935,Lindsey,Graham,R,SC,Yea,Lindsey Graham
334,H.R. 3935,Chuck,Grassley,R,IA,Yea,Chuck Grassley
335,H.R. 3935,Bill,Hagerty,R,TN,Not Voting,Bill Hagerty
336,H.R. 3935,Maggie,Hassan,D,NH,Yea,Maggie Hassan
337,H.R. 3935,Josh,Hawley,R,MO,Yea,Josh Hawley
338,H.R. 3935,Martin,Heinrich,D,NM,Yea,Martin Heinrich
339,H.R. 3935,John,Hickenlooper,D,CO,Yea,John Hickenlooper
340,H.R. 3935,Mazie,Hirono,D,HI,Yea,Mazie Hirono
341,H.R. 3935,John,Hoeven,R,ND,Yea,John Hoeven
342,H.R. 3935,Cindy,Hyde-Smith,R,MS,Yea,Cindy Hyde-Smith
343,H.R. 3935,Ron,Johnson,R,WI,Yea,Ron Johnson
344,H.R. 3935,Timothy,Kaine,D,VA,Nay,Timothy Kaine
345,H.R. 3935,Mark,Kelly,D,AZ,Yea,Mark Kelly
346,H.R. 3935,John,Kennedy,R,LA,Yea,John Kennedy
347,H.R. 3935,Angus,King,I,ME,Yea,Angus King
348,H.R. 3935,Amy,Klobuchar,D,MN,Yea,Amy Klobuchar
349,H.R. 3935,James,Lankford,R,OK,Yea,James Lankford
